Date,IF
2007-4-30,
2007-5-31,
2007-6-29,
2007-7-31,
2007-8-31,
2007-9-28,
2007-10-31,
2007-11-30,
2007-12-28,
2008-1-31,
2008-2-29,
2008-3-31,
2008-4-30,
2008-5-30,
2008-6-30,
2008-7-31,
2008-8-29,
2008-9-26,
2008-10-31,
2008-11-28,
2008-12-31,
2009-1-23,
2009-2-27,
2009-3-31,
2009-4-30,
2009-5-27,
2009-6-30,
2009-7-31,
2009-8-31,
2009-9-30,
2009-10-30,
2009-11-30,
2009-12-31,
2010-1-29,
2010-2-26,
2010-3-31,
2010-4-30,3107
2010-5-31,2792
2010-6-30,2579
2010-7-30,2871.4
2010-8-31,2910.4
2010-9-30,2953.4
2010-10-29,3420
2010-11-30,3153.2
2010-12-31,3157
2011-1-31,3079.8
2011-2-28,3255.2
2011-3-31,3244
2011-4-29,3193.2
2011-5-31,2996
2011-6-30,3035
2011-7-29,2971.6
2011-8-31,2846.8
2011-9-30,2571.8
2011-10-31,2693.8
2011-11-30,2528
2011-12-30,2357
2012-1-31,2476
2012-2-29,2650.8
2012-3-30,2453.6
2012-4-27,2638.6
2012-5-31,2635.6
2012-6-29,2469
2012-7-31,2363.2
2012-8-31,2216
2012-9-28,2315.6
2012-10-31,2255.2
2012-11-30,2138.4
2012-12-31,2538
2013-1-31,2699.8
2013-2-28,2678.4
2013-3-29,2483.8
2013-4-26,2439.8
2013-5-31,2600
2013-6-28,2168.6
2013-7-31,2165
2013-8-30,2302.2
2013-9-30,2409.6
2013-10-31,2381
2013-11-29,2457
2013-12-31,2345
2014-1-30,2199.2
2014-2-28,2174
2014-3-31,2143.4
2014-4-30,2147
2014-5-30,2147.8
2014-6-30,2154.2
2014-7-31,2370.8
2014-8-29,2351.6
2014-9-30,2453.2
2014-10-31,2523.2
2014-11-28,2826
2014-12-31,3593.2
2015-1-30,3429.2
2015-2-27,3587.2
2015-3-31,4035.8
2015-4-30,4767.8
2015-5-29,4897
2015-6-30,4381.4
2015-7-31,3693.4
2015-8-31,3070.2
2015-9-30,3121.4
2015-10-30,3439.2
2015-11-30,3485.8
2015-12-31,3658.2
2016-1-29,2903.8
2016-2-29,2789
2016-3-31,3191
2016-4-29,3128
2016-5-31,3158.8
2016-6-30,3111.2
2016-7-29,3181.8
2016-8-31,3310.6
2016-9-30,3246
2016-10-31,3317.4
2016-11-30,3534.6
2016-12-30,3285
2017-1-26,3377.6
2017-2-28,3429.4
2017-3-31,3450.4
2017-4-28,3420.4
2017-5-31,3482
2017-6-30,3642.6
2017-7-31,3722.2
2017-8-31,3829.6
2017-9-29,3849.2
2017-10-31,3993.8
2017-11-30,3982
2017-12-29,4039.8
2018-1-31,4280
2018-2-28,4002
2018-3-30,3884.2
2018-4-27,3746
2018-5-31,3784
2018-6-29,3477.2
2018-7-31,3512.6
2018-8-31,3321.2
2018-9-28,3448.8
2018-10-31,3151
2018-11-30,3168
2018-12-28,2996
2019-1-31,3207.4
2019-2-28,3677.4
2019-3-29,3876.2
2019-4-30,3913.8
2019-5-31,3594.8
2019-6-28,3817.6
2019-7-31,3838
2019-8-30,3791.8
2019-9-30,3794
2019-10-31,3879
2019-11-29,3827.4
2019-12-31,4109.4
2020-1-23,3994.2
2020-2-28,3925.8
2020-3-31,3652
2020-4-30,3904.6
2020-5-29,3820
2020-6-30,4120.6
