Date,000001.SZ,000002.SZ,000063.SZ,000066.SZ,000069.SZ,000100.SZ,000157.SZ,000425.SZ,000538.SZ,000568.SZ,000596.SZ,000625.SZ,000627.SZ,000651.SZ,000656.SZ,000661.SZ,000671.SZ,000703.SZ,000708.SZ,000709.SZ,000723.SZ,000725.SZ,000728.SZ,000768.SZ,000776.SZ,000783.SZ,000786.SZ,000858.SZ,000860.SZ,000876.SZ,000895.SZ,000938.SZ,000961.SZ,000963.SZ,000977.SZ,600000.SH,600004.SH,600009.SH,600010.SH,600011.SH,600015.SH,600016.SH,600019.SH,600028.SH,600029.SH,600030.SH,600031.SH,600036.SH,600038.SH,600050.SH,600061.SH,600066.SH,600068.SH,600085.SH,600089.SH,600104.SH,600109.SH,600111.SH,600115.SH,600118.SH,600170.SH,600176.SH,600177.SH,600183.SH,600188.SH,600196.SH,600208.SH,600219.SH,600221.SH,600233.SH,600271.SH,600276.SH,600297.SH,600299.SH,600309.SH,600332.SH,600340.SH,600346.SH,600352.SH,600362.SH,600369.SH,600372.SH,600383.SH,600390.SH,600398.SH,600406.SH,600436.SH,600438.SH,600482.SH,600487.SH,600489.SH,600498.SH,600516.SH,600519.SH,600522.SH,600547.SH,600570.SH,600583.SH,600585.SH,600588.SH,600606.SH,600637.SH,600655.SH,600660.SH,600674.SH,600690.SH,600703.SH,600705.SH,600741.SH,600760.SH,600795.SH,600809.SH,600837.SH,600848.SH,600867.SH,600886.SH,600887.SH,600893.SH,600900.SH,601607.SH
2007-4-30,8.0979,8.2631,2.0167,1.7605,4.6383,-2.8201,11.9175,-0.4508,11.2941,14.2531,1.3757,4.2099,2.2479,9.2867,-0.7162,-6.1644,2.172,-0.8525,11.9603,7.4173,4.341,-32.6684,-8.7875,1.6272,3.0545,-106.6752,4.683,10.3829,3.6711,4.3754,8.708,2.4055,0.5764,7.4778,0.2744,9.5555,2.8148,5.4955,4.0554,3.102,6.5922,7.9398,5.4493,6.0199,-1.6826,7.3258,9.0924,9.208,0.5271,2.8414,0.7664,8.5608,2.3569,4.6903,7.3273,4.2649,6.6274,4.9007,-10.3061,4.7949,3.4322,6.5757,6.7561,9.586,7.6007,5.1881,9.9795,5.9906,1.9776,2.8811,7.1651,7.1634,1.0977,5.4579,13.4612,4.4571,-1.0898,0.4739,5.9541,15.0197,-15.9444,-13.7253,3.0742,2.2043,3.8522,2.927,5.743,3.4122,1.9188,2.5033,9.7552,0.9065,-1.436,10.7546,3.0242,12.1544,2.9169,8.7145,7.0886,5.1764,2.4797,-0.0879,4.6637,9.2585,5.8623,3.7599,95.2381,-10.2011,2.1332,-0.8692,3.9355,9.2936,18.5863,-0.221,1.7558,7.3871,4.9992,1.7657,3.4048,2.5644
2007-5-31,8.0368,7.7315,1.8778,1.6225,4.2998,-1.4604,11.7063,-0.5139,10.8027,14.5318,1.4772,4.1429,2.165,9.1211,-0.623,-5.7671,1.996,-0.7514,11.3287,7.3204,4.3931,-29.1089,-7.8007,1.5828,2.8577,-96.4487,4.7844,10.3481,3.7177,4.1721,8.4633,2.5118,0.5464,7.526,0.254,9.5429,2.773,5.2467,4.0131,2.8679,6.5481,7.67,5.3817,5.6705,-0.9551,7.1016,8.8305,9.1758,0.4929,2.7827,0.7063,8.7741,2.4951,4.4867,7.3455,4.1776,7.5578,5.2117,-8.7102,4.5461,3.2637,6.3812,6.4747,8.9705,7.5767,5.1858,9.344,5.7463,2.1318,2.7985,6.9055,6.9208,1.0761,5.1192,13.1424,4.3841,-1.1365,0.4567,5.7537,14.2633,-14.495,-14.4709,2.8968,2.1242,3.6584,2.7537,5.5923,3.1499,1.8766,2.3637,9.4687,0.9393,-0.6944,10.6926,3.0874,12.4806,3.0225,8.1438,6.8068,4.9875,2.3562,-0.068,4.6335,8.9302,5.8987,3.6642,104.7619,-9.6395,2.0293,-0.7279,3.6917,8.6439,17.1183,-0.0851,1.7004,6.8745,4.6632,1.7991,3.1519,2.4709
2007-6-29,7.9756,7.1998,1.7388,1.4844,3.9614,-0.1006,11.495,-0.5771,10.3114,14.8104,1.5786,4.0758,2.0822,8.9554,-0.5299,-5.3698,1.8199,-0.6502,10.697,7.2236,4.4453,-25.5494,-6.8138,1.5385,2.6608,-86.2221,4.8859,10.3133,3.7644,3.9687,8.2185,2.6181,0.5165,7.5742,0.2336,9.5302,2.7313,4.9979,3.9709,2.6338,6.504,7.4003,5.314,5.3212,-0.2277,6.8774,8.5685,9.1436,0.4587,2.7241,0.6461,8.9873,2.6334,4.283,7.3637,4.0904,8.4881,5.5227,-7.1144,4.2972,3.0951,6.1867,6.1932,8.3551,7.5527,5.1834,8.7086,5.502,2.286,2.716,6.6458,6.6782,1.0544,4.7804,12.8236,4.311,-1.1831,0.4396,5.5533,13.5069,-13.0455,-15.2166,2.7193,2.0441,3.4646,2.5805,5.4416,2.8875,1.8343,2.2241,9.1823,0.9721,0.0472,10.6306,3.1507,12.8069,3.128,7.573,6.5249,4.7985,2.2328,-0.0481,4.6033,8.6019,5.935,3.5684,114.2857,-9.0778,1.9254,-0.5867,3.4479,7.9942,15.6502,0.0508,1.6451,6.3618,4.3271,1.8325,2.8989,2.3775
2007-7-31,7.9145,6.6681,1.5998,1.3464,3.623,1.2592,11.2838,-0.6403,9.8201,15.089,1.68,4.0087,1.9993,8.7897,-0.4368,-4.9725,1.6438,-0.5491,10.0653,7.1267,4.4975,-21.9899,-5.8269,1.4941,2.464,-75.9955,4.9873,10.2785,3.811,3.7653,7.9737,2.7244,0.4865,7.6225,0.2132,9.5176,2.6896,4.7491,3.9286,2.3998,6.4599,7.1305,5.2463,4.9719,0.4997,6.6532,8.3065,9.1113,0.4245,2.6655,0.5859,9.2005,2.7717,4.0794,7.3819,4.0031,9.4185,5.8337,-5.5186,4.0483,2.9266,5.9923,5.9117,7.7396,7.5287,5.181,8.0731,5.2577,2.4402,2.6334,6.3862,6.4355,1.0327,4.4416,12.5048,4.2379,-1.2297,0.4224,5.3529,12.7505,-11.596,-15.9623,2.5418,1.964,3.2708,2.4073,5.2909,2.6251,1.792,2.0845,8.8958,1.0049,0.7888,10.5686,3.2139,13.1332,3.2335,7.0022,6.2431,4.6096,2.1094,-0.0282,4.5731,8.2736,5.9713,3.4726,123.8095,-8.5161,1.8215,-0.4455,3.2041,7.3445,14.1821,0.1866,1.5898,5.8491,3.991,1.8658,2.6459,2.284
2007-8-31,7.8533,6.1364,1.4609,1.2084,3.2845,2.6189,11.0725,-0.7034,9.3287,15.3676,1.7814,3.9417,1.9165,8.624,-0.3437,-4.5752,1.4677,-0.448,9.4336,7.0298,4.5497,-18.4305,-4.84,1.4497,2.2672,-65.769,5.0888,10.2437,3.8577,3.5619,7.7289,2.8306,0.4566,7.6707,0.1928,9.505,2.6479,4.5004,3.8864,2.1657,6.4158,6.8608,5.1786,4.6226,1.2272,6.429,8.0445,9.0791,0.3904,2.6069,0.5257,9.4138,2.91,3.8757,7.4002,3.9158,10.3488,6.1448,-3.9227,3.7994,2.7581,5.7978,5.6302,7.1242,7.5046,5.1786,7.4377,5.0134,2.5943,2.5508,6.1265,6.1929,1.011,4.1028,12.1861,4.1649,-1.2764,0.4053,5.1525,11.994,-10.1465,-16.708,2.3644,1.8839,3.077,2.2341,5.1402,2.3627,1.7497,1.9448,8.6093,1.0376,1.5304,10.5065,3.2772,13.4594,3.3391,6.4314,5.9612,4.4206,1.9859,-0.0083,4.5428,7.9452,6.0077,3.3769,133.3333,-7.9544,1.7175,-0.3043,2.9602,6.6948,12.714,0.3225,1.5344,5.3364,3.6549,1.8992,2.393,2.1906
2007-9-28,7.7922,5.6047,1.3219,1.0703,2.9461,3.9787,10.8612,-0.7666,8.8374,15.6462,1.8828,3.8746,1.8337,8.4583,-0.2505,-4.1779,1.2916,-0.3468,8.8019,6.933,4.6018,-14.871,-3.8532,1.4054,2.0703,-55.5424,5.1903,10.2089,3.9043,3.3585,7.4842,2.9369,0.4266,7.7189,0.1724,9.4923,2.6062,4.2516,3.8441,1.9316,6.3717,6.591,5.1109,4.2733,1.9546,6.2048,7.7826,9.0469,0.3562,2.5482,0.4655,9.627,3.0483,3.6721,7.4184,3.8286,11.2792,6.4558,-2.3269,3.5506,2.5895,5.6033,5.3487,6.5087,7.4806,5.1763,6.8023,4.7691,2.7485,2.4683,5.8668,5.9503,0.9893,3.764,11.8673,4.0918,-1.323,0.3882,4.9521,11.2376,-8.697,-17.4537,2.1869,1.8038,2.8832,2.0609,4.9895,2.1003,1.7075,1.8052,8.3229,1.0704,2.272,10.4445,3.3404,13.7857,3.4446,5.8606,5.6793,4.2317,1.8625,0.0116,4.5126,7.6169,6.044,3.2811,142.8571,-7.3927,1.6136,-0.1631,2.7164,6.0451,11.2459,0.4584,1.4791,4.8237,3.3189,1.9326,2.14,2.0971
2007-10-31,7.731,5.073,1.1829,0.9323,2.6077,5.3385,10.65,-0.8298,8.3461,15.9248,1.9842,3.8075,1.7508,8.2926,-0.1574,-3.7806,1.1155,-0.2457,8.1702,6.8361,4.654,-11.3115,-2.8663,1.361,1.8735,-45.3158,5.2917,10.174,3.951,3.1551,7.2394,3.0432,0.3967,7.7672,0.1521,9.4797,2.5645,4.0028,3.8019,1.6976,6.3276,6.3213,5.0432,3.924,2.682,5.9805,7.5206,9.0146,0.322,2.4896,0.4053,9.8402,3.1866,3.4684,7.4366,3.7413,12.2095,6.7668,-0.7311,3.3017,2.421,5.4089,5.0672,5.8933,7.4566,5.1739,6.1668,4.5248,2.9027,2.3857,5.6072,5.7076,0.9676,3.4252,11.5485,4.0187,-1.3696,0.371,4.7517,10.4812,-7.2475,-18.1994,2.0094,1.7238,2.6893,1.8877,4.8389,1.8379,1.6652,1.6656,8.0364,1.1032,3.0136,10.3825,3.4037,14.112,3.5501,5.2898,5.3975,4.0427,1.7391,0.0314,4.4824,7.2886,6.0803,3.1853,152.381,-6.831,1.5097,-0.0219,2.4726,5.3954,9.7778,0.5942,1.4238,4.311,2.9828,1.9659,1.887,2.0037
2007-11-30,7.6699,4.5413,1.044,0.7943,2.2692,6.6982,10.4387,-0.8929,7.8547,16.2034,2.0856,3.7405,1.668,8.1269,-0.0643,-3.3833,0.9394,-0.1446,7.5385,6.7392,4.7062,-7.752,-1.8794,1.3166,1.6767,-35.0893,5.3932,10.1392,3.9976,2.9517,6.9946,3.1495,0.3667,7.8154,0.1317,9.4671,2.5228,3.754,3.7596,1.4635,6.2835,6.0515,4.9755,3.5747,3.4095,5.7563,7.2586,8.9824,0.2878,2.431,0.3451,10.0535,3.3249,3.2648,7.4548,3.654,13.1399,7.0778,0.8648,3.0528,2.2525,5.2144,4.7857,5.2778,7.4326,5.1715,5.5314,4.2805,3.0569,2.3031,5.3475,5.465,0.9459,3.0864,11.2297,3.9457,-1.4163,0.3539,4.5513,9.7248,-5.798,-18.9451,1.832,1.6437,2.4955,1.7145,4.6882,1.5755,1.6229,1.526,7.7499,1.136,3.7552,10.3205,3.4669,14.4382,3.6557,4.719,5.1156,3.8538,1.6156,0.0513,4.4522,6.9603,6.1167,3.0896,161.9048,-6.2693,1.4058,0.1193,2.2288,4.7457,8.3097,0.7301,1.3684,3.7983,2.6467,1.9993,1.6341,1.9102
2007-12-28,7.6087,4.0097,0.905,0.6562,1.9308,8.058,10.2275,-0.9561,7.3634,16.482,2.1871,3.6734,1.5851,7.9613,0.0288,-2.986,0.7634,-0.0434,6.9068,6.6424,4.7584,-4.1925,-0.8925,1.2723,1.4798,-24.8627,5.4946,10.1044,4.0443,2.7483,6.7498,3.2558,0.3368,7.8636,0.1113,9.4544,2.481,3.5052,3.7174,1.2294,6.2394,5.7818,4.9078,3.2254,4.1369,5.5321,6.9966,8.9502,0.2536,2.3724,0.285,10.2667,3.4631,3.0611,7.473,3.5668,14.0702,7.3888,2.4606,2.8039,2.0839,5.0199,4.5043,4.6624,7.4086,5.1691,4.8959,4.0362,3.2111,2.2206,5.0879,5.2224,0.9243,2.7476,10.9109,3.8726,-1.4629,0.3367,4.3509,8.9684,-4.3485,-19.6907,1.6545,1.5636,2.3017,1.5413,4.5375,1.3131,1.5806,1.3864,7.4635,1.1688,4.4968,10.2585,3.5302,14.7645,3.7612,4.1482,4.8338,3.6648,1.4922,0.0712,4.422,6.632,6.153,2.9938,171.4286,-5.7077,1.3019,0.2605,1.985,4.096,6.8417,0.866,1.3131,3.2857,2.3106,2.0327,1.3811,1.8168
2008-1-31,7.5476,3.478,0.766,0.5182,1.5924,9.4178,10.0162,-1.0193,6.8721,16.7606,2.2885,3.6063,1.5023,7.7956,0.122,-2.5887,0.5873,0.0577,6.2751,6.5455,4.8105,-0.6331,0.0943,1.2279,1.283,-14.6361,5.5961,10.0696,4.0909,2.5449,6.5051,3.362,0.3068,7.9118,0.0909,9.4418,2.4393,3.2565,3.6751,0.9953,6.1953,5.512,4.8401,2.8761,4.8643,5.3079,6.7347,8.918,0.2195,2.3137,0.2248,10.4799,3.6014,2.8575,7.4913,3.4795,15.0006,7.6999,4.0564,2.5551,1.9154,4.8254,4.2228,4.0469,7.3845,5.1668,4.2605,3.7919,3.3652,2.138,4.8282,4.9798,0.9026,2.4088,10.5922,3.7995,-1.5095,0.3196,4.1505,8.2119,-2.899,-20.4364,1.477,1.4835,2.1079,1.3681,4.3868,1.0507,1.5384,1.2467,7.177,1.2015,5.2384,10.1964,3.5934,15.0908,3.8667,3.5774,4.5519,3.4759,1.3688,0.0911,4.3917,6.3036,6.1893,2.898,180.9524,-5.146,1.1979,0.4017,1.7411,3.4463,5.3736,1.0019,1.2578,2.773,1.9746,2.0661,1.1281,1.7233
