Date,000001.SZ,000002.SZ,000063.SZ,000066.SZ,000069.SZ,000100.SZ,000157.SZ,000425.SZ,000538.SZ,000568.SZ,000596.SZ,000625.SZ,000627.SZ,000651.SZ,000656.SZ,000661.SZ,000671.SZ,000703.SZ,000708.SZ,000709.SZ,000723.SZ,000725.SZ,000728.SZ,000768.SZ,000776.SZ,000783.SZ,000786.SZ,000858.SZ,000860.SZ,000876.SZ,000895.SZ,000938.SZ,000961.SZ,000963.SZ,000977.SZ,600000.SH,600004.SH,600009.SH,600010.SH,600011.SH,600015.SH,600016.SH,600019.SH,600028.SH,600029.SH,600030.SH,600031.SH,600036.SH,600038.SH,600050.SH,600061.SH,600066.SH,600068.SH,600085.SH,600089.SH,600104.SH,600109.SH,600111.SH,600115.SH,600118.SH,600170.SH,600176.SH,600177.SH,600183.SH,600188.SH,600196.SH,600208.SH,600219.SH,600221.SH,600233.SH,600271.SH,600276.SH,600297.SH,600299.SH,600309.SH,600332.SH,600340.SH,600346.SH,600352.SH,600362.SH,600369.SH,600372.SH,600383.SH,600390.SH,600398.SH,600406.SH,600436.SH,600438.SH,600482.SH,600487.SH,600489.SH,600498.SH,600516.SH,600519.SH,600522.SH,600547.SH,600570.SH,600583.SH,600585.SH,600588.SH,600606.SH,600637.SH,600655.SH,600660.SH,600674.SH,600690.SH,600703.SH,600705.SH,600741.SH,600760.SH,600795.SH,600809.SH,600837.SH,600848.SH,600867.SH,600886.SH,600887.SH,600893.SH,600900.SH,601607.SH
2007-4-30,649.1486,820.2125,171.8414,56.3378,213.976,6.6885,200.8585,86.3304,280.8759,545.7101,13.8416,38.0501,108.6728,408.6691,21.8398,62.7429,20.6189,20.4956,20.4727,61.1166,15.483,27.0551,13.8884,98.3739,22.9632,15.6408,49.4809,358.4978,28.6991,114.5493,94.8861,37.3824,11.9624,40.6274,14.7222,56.1473,18.6348,88.9292,21.6264,40.072,23.0983,90.9288,17.5297,16.4568,9.03,82.2832,178.71,46.9526,58.8694,7.8833,43.7052,148.2767,34.7551,111.7145,117.3991,64.8422,82.5417,51.9769,8.7094,119.13,31.1783,48.0934,239.8628,57.9458,26.5115,81.4183,24.9864,37.7807,11.5774,26.4032,110.0726,130.6162,18.6952,80.2395,503.3431,19.3636,18.7239,14.9667,38.6177,33.058,5.67,11.8746,57.6012,30.8273,40.34,88.5098,52.8691,68.4503,23.3806,24.9018,61.8655,22.7442,17.2021,430.6096,18.6191,70.2861,85.4474,142.5596,48.3263,154.5913,1040.6752,27.3954,1722.7426,516.1094,37.0287,109.9127,7.7717,25.1214,245.7762,24.4258,664.8255,61.1116,441.4688,20.2648,90.9075,202.2854,246.1428,10.9473,19.5215,106.7007
2007-5-31,717.6907,1329.7967,196.6917,57.8476,308.2312,9.1171,271.8965,92.9935,301.7573,545.7101,13.8416,40.8823,143.384,450.2234,21.9296,52.9599,23.5172,19.3257,22.7815,69.1691,15.483,31.8822,13.8884,112.4118,22.9632,15.6408,64.4831,422.2182,31.4689,103.0493,94.8861,36.1323,11.5362,41.1848,13.9495,70.4659,21.0681,94.8324,22.7794,43.1592,22.6825,93.5147,19.3634,21.5887,9.48,75.6028,205.0572,52.3786,56.2,8.4673,43.1904,165.9918,39.4833,142.3394,117.3991,68.5398,74.5392,60.9955,12.8632,158.6364,28.6684,47.58,276.1271,64.1261,35.0078,100.1309,36.9662,37.181,11.1191,28.4274,124.6406,176.711,20.2808,88.2634,574.4162,18.7299,24.5964,14.3982,53.6356,33.4923,5.67,15.1299,86.9222,61.6699,37.8765,93.1682,54.76,77.0619,23.8554,28.3574,56.4555,23.7248,20.0654,460.1683,19.4899,63.3028,79.911,184.8687,65.7205,165.4661,950.4518,36.7595,1929.7818,563.9818,38.0408,110.573,7.7717,25.1214,311.5655,40.5135,690.5545,73.7299,386.742,32.1457,102.9293,193.187,302.3303,22.7882,18.9604,122.5635
2007-6-29,757.4716,1309.9286,201.4692,43.569,287.2975,6.3118,282.5375,70.9763,293.1591,587.4302,27.0255,40.5868,88.5136,545.2046,19.3813,40.3862,16.7116,15.8835,18.057,67.734,15.483,19.3473,13.8884,112.4117,22.9632,15.6408,45.1687,443.5053,27.6125,85.7429,263.7458,27.9694,8.8962,41.2777,10.0046,76.3729,23.4511,96.7153,19.7919,33.4925,20.863,95.056,17.7202,19.3657,8.58,74.051,255.5559,59.2756,53.133,8.2609,26.8295,189.9839,35.3579,128.0589,177.746,77.8738,82.6242,58.3203,12.8632,119.3776,22.9621,37.5561,290.1206,54.1668,32.259,85.0616,26.1416,48.5966,8.7237,19.8445,115.1425,193.8037,11.734,96.4734,650.7135,16.4105,11.8939,9.0255,41.6669,32.2816,5.67,8.5628,86.8714,53.584,30.5168,85.6409,52.5143,53.4392,30.6014,21.0066,63.292,17.5247,17.4929,540.0896,19.159,97.6729,61.185,176.7585,70.6452,180.1095,715.7905,20.5768,1875.1407,703.0683,33.2595,117.3967,7.7717,25.1214,244.0847,21.8263,603.6026,62.9111,374.9345,31.2939,66.7495,195.1653,267.7071,22.7882,20.5731,117.6149
2007-7-31,997.2091,1938.8587,211.5851,55.9064,351.5424,6.8703,294.6462,95.2531,304.4324,738.1249,42.2283,44.5031,122.1568,574.4175,22.0193,49.1658,22.8745,16.6035,22.5368,85.86,15.483,23.863,13.8884,104.6919,22.9632,15.6408,49.5356,466.3431,34.3878,105.9343,230.4929,33.0436,12.4299,55.3362,11.9974,84.3606,25.4053,104.5777,20.075,39.4543,23.0637,118.2587,21.7314,20.8013,12.96,91.7494,263.356,72.243,52.6786,9.1053,36.3257,200.3758,42.0317,134.39,259.7693,107.7698,128.6595,73.2043,12.8632,139.8281,27.2761,48.0025,327.0807,64.5851,45.9341,98.0358,36.9662,62.6466,11.2374,27.5305,118.3113,188.9629,18.5207,102.0274,676.0633,19.6818,15.2671,15.6632,50.5955,40.4791,5.67,12.2285,113.1207,59.85,36.306,82.6016,53.8673,66.4029,32.3892,26.801,91.5055,21.6166,21.7431,586.0516,25.5511,123.5803,78.4048,203.8582,62.2339,191.802,892.1554,28.0233,2258.5284,791.2974,42.5429,131.6902,7.7717,25.1214,303.2872,25.3087,677.6728,71.4353,484.0132,31.249,80.0879,216.3461,277.9657,22.7882,24.3149,110.7681
2007-8-31,1045.9273,2315.6687,214.8534,63.0142,449.9309,6.9482,345.6498,103.133,316.9973,827.8715,34.9328,53.73,148.3237,605.9738,20.3683,53.8692,27.2225,26.93,29.0502,110.77,15.483,30.5587,13.8884,110.591,22.9632,15.6408,55.0053,502.5736,34.537,132.0078,243.703,43.6088,13.6674,49.5456,13.1496,115.2753,25.4679,107.0916,23.6993,44.6046,35.124,140.6297,29.7861,23.0572,20.79,124.4062,301.6634,92.1637,56.342,10.4564,39.186,203.5143,43.8568,130.6802,303.9313,111.5655,146.7585,86.9982,12.8632,149.1933,30.3522,73.6763,337.7653,73.1936,47.4307,103.5498,41.1805,71.385,15.5549,27.7103,130.519,197.0595,18.5207,118.7104,707.4209,20.0483,19.6108,22.3577,64.7421,54.4176,5.67,11.6765,142.1371,63.3516,34.1505,79.6475,54.2578,69.2357,54.3032,26.1283,145.2647,22.4474,29.3487,726.1737,24.1926,169.0517,138.8571,237.9892,78.6971,195.0848,993.9895,29.4894,2391.8493,756.7429,48.3363,168.1514,7.7717,25.1214,307.05,31.0963,723.219,80.428,469.4371,32.3923,84.3814,244.7131,291.9287,22.7882,26.3015,118.2117
2007-9-28,1100.4256,2069.0295,205.717,58.0566,442.4236,7.7015,320.4048,143.8647,284.1479,878.6836,35.7434,69.1281,136.1748,672.9918,17.8559,44.5565,32.1377,31.857,28.882,138.966,60.5195,42.8211,13.8884,137.9384,22.9632,15.6408,53.7702,598.4361,38.7129,116.9067,231.1762,51.0362,13.6674,45.3342,13.7054,110.0355,24.1469,100.6298,26.0777,54.3746,34.2923,131.4817,29.3028,27.8281,23.94,135.1986,294.9611,92.7453,60.1189,13.1443,45.9935,236.7824,42.3858,120.9878,280.463,134.0783,136.1786,112.951,24.5874,148.5817,34.6712,74.5466,304.9482,68.7348,52.7724,125.2814,38.1,72.3274,17.4179,27.7777,123.4282,179.1099,18.7269,118.7104,668.5647,21.0934,19.0146,19.4439,74.4051,78.8333,5.67,11.6765,136.2729,51.3724,34.366,76.949,50.7429,66.4029,56.915,30.6844,190.0302,22.0001,32.816,683.2199,22.0154,257.609,148.6271,237.9892,100.0727,175.6833,1144.5269,36.4536,2861.7154,776.3238,52.6988,186.3079,7.7717,25.1214,269.9231,33.3526,852.9567,74.9949,471.6995,35.5979,78.485,283.0045,292.1011,22.7882,26.2879,116.9914
2007-10-31,1322.5476,2667.1297,203.0058,48.9241,418.8912,6.6885,408.3951,137.8969,261.5639,959.3933,31.5374,51.7719,134.3057,638.1549,16.4023,38.5049,26.8066,26.1201,24.6621,110.505,65.6883,45.9353,59.878,120.0952,22.9632,15.6408,46.7567,634.3846,33.4504,107.6311,242.1087,40.0789,13.6674,41.5254,10.9535,123.2188,23.4863,91.4352,23.2746,46.1653,36.3197,141.295,29.8183,37.922,22.88,148.088,369.2069,110.1941,48.4473,14.9035,46.6227,230.0869,42.1679,101.5696,301.7347,119.2362,131.9507,121.4411,20.4337,132.9476,28.0936,72.3437,320.8661,61.0093,53.4171,104.3607,38.1214,70.2499,15.0965,25.6652,128.9087,184.1649,14.9054,97.5121,658.5098,20.6862,15.6078,15.2794,65.979,90.7137,5.67,8.5344,172.7528,39.4853,28.5768,75.898,46.2238,62.4178,60.1833,27.1374,170.2577,20.003,29.8856,867.2947,19.0371,242.5496,131.8959,247.5108,98.1916,173.0275,954.1414,27.9566,2285.1926,730.2512,68.9272,158.6655,7.7717,25.1214,234.0504,26.633,818.452,63.8478,601.5016,28.6263,66.9212,244.4748,262.1066,22.7882,29.2269,94.6182
2007-11-30,993.0805,2161.5192,181.6133,46.4888,368.7946,6.2599,341.0998,116.4591,243.5788,870.5424,28.555,51.3862,123.8923,613.3161,18.0892,38.8812,31.1925,19.3932,20.4727,90.63,68.4439,40.1739,42.1891,119.7311,22.9632,15.6408,43.7572,494.397,31.2132,91.8512,203.6173,39.0738,13.6674,38.274,10.8451,108.757,23.5118,83.0834,19.6503,39.2983,33.7724,125.5771,23.3907,31.0311,25.64,117.2765,253.8803,95.1203,87.8356,13.8621,55.4896,199.3994,35.2761,91.7435,260.8098,108.8422,108.2128,74.1267,22.6713,130.8834,26.8652,61.2202,238.5508,60.0381,45.7499,98.8466,29.6927,49.6461,15.688,25.2382,139.0904,201.6004,14.7151,86.489,528.3076,18.8809,17.0131,20.0409,56.0068,60.7387,7.6071,9.5959,113.933,37.8267,26.9755,73.654,44.1037,52.4789,46.6773,27.3361,114.6592,24.2528,26.7762,787.7438,20.4653,180.3929,109.0991,210.4012,77.6187,152.9621,839.7625,27.3901,1805.2373,636.9541,94.1249,123.6124,7.7717,25.1214,207.9612,27.1235,702.0561,53.6561,489.7982,33.2665,62.9712,226.0409,221.1659,22.7882,22.8318,90.6317
2007-12-28,1062.442,1975.8546,236.543,53.1424,362.7311,7.5846,421.6046,128.9162,284.8049,1031.6812,37.2576,55.6585,149.5252,770.9411,18.0892,46.8769,31.1925,24.4777,24.6774,132.394,68.4439,49.0496,47.9149,133.2773,22.9632,67.6995,54.5201,641.1513,38.0738,113.0041,268.711,51.551,13.6674,51.0939,12.987,110.6643,26.6492,95.8282,22.2553,46.2902,33.2006,123.2485,28.0946,34.4252,27.94,124.7977,329.5706,96.0412,88.7159,17.0004,66.5303,240.3393,41.8955,116.6429,373.758,119.327,136.7973,102.2596,28.5267,168.1291,30.5701,80.2308,267.443,70.1916,50.7462,119.6863,34.1638,57.1637,19.0444,31.014,169.1683,244.3538,18.5049,101.6034,648.4549,23.1838,20.2496,20.9932,67.2545,68.1021,18.3217,11.9595,103.5755,45.2446,31.379,88.9643,52.8351,65.9228,54.2194,34.0632,154.3801,29.3814,31.8988,1044.3316,23.7572,225.2113,136.5367,254.2979,87.2521,188.3717,948.9759,33.2547,2311.1361,826.0823,112.3077,166.4469,7.7717,25.1214,243.3321,30.2135,802.3498,68.9436,517.7005,37.6154,79.9162,251.5763,252.798,22.7882,26.5192,112.11
2008-1-31,916.5626,1784.7092,264.3607,55.4038,341.8695,6.9612,401.0565,133.3196,296.877,894.1237,31.2774,43.9097,149.1247,863.8915,18.0892,39.2888,31.1925,24.0728,20.8703,108.915,55.4363,44.495,39.3449,134.3697,22.9632,48.9787,52.1822,532.1782,39.8848,106.3302,252.5856,52.2619,13.6674,47.9973,13.6648,96.4121,23.5118,84.9224,20.2449,36.5827,33.6165,99.7963,25.0016,24.9189,20.06,95.2304,305.4191,78.8105,68.5816,16.1982,57.0914,234.4808,38.9536,98.595,326.4746,93.5462,107.5116,85.992,19.7369,158.9902,28.0342,82.6241,235.9342,58.7138,45.1513,127.3897,32.5593,53.18,14.7417,27.4406,164.1553,234.8007,17.2522,113.8348,628.0043,19.5868,16.9918,16.5017,61.1861,58.8143,37.8137,12.4974,111.8006,40.0382,28.1457,88.3394,50.4919,71.1562,55.2111,37.8242,143.7365,25.1635,34.8964,935.494,21.7716,266.2981,144.1085,241.456,81.5967,206.1872,881.0865,34.221,1968.105,768.7218,101.035,149.7726,7.7717,25.1214,238.5658,30.1154,703.8963,54.9113,432.1084,29.1194,70.4133,205.3407,208.7544,22.7882,23.0495,91.4453
