Date,000001.SZ,000002.SZ,000063.SZ,000066.SZ,000069.SZ,000100.SZ,000157.SZ,000425.SZ,000538.SZ,000568.SZ,000596.SZ,000625.SZ,000627.SZ,000651.SZ,000656.SZ,000661.SZ,000671.SZ,000703.SZ,000708.SZ,000709.SZ,000723.SZ,000725.SZ,000728.SZ,000768.SZ,000776.SZ,000783.SZ,000786.SZ,000858.SZ,000860.SZ,000876.SZ,000895.SZ,000938.SZ,000961.SZ,000963.SZ,000977.SZ,600000.SH,600004.SH,600009.SH,600010.SH,600011.SH,600015.SH,600016.SH,600019.SH,600028.SH,600029.SH,600030.SH,600031.SH,600036.SH,600038.SH,600050.SH,600061.SH,600066.SH,600068.SH,600085.SH,600089.SH,600104.SH,600109.SH,600111.SH,600115.SH,600118.SH,600170.SH,600176.SH,600177.SH,600183.SH,600188.SH,600196.SH,600208.SH,600219.SH,600221.SH,600233.SH,600271.SH,600276.SH,600297.SH,600299.SH,600309.SH,600332.SH,600340.SH,600346.SH,600352.SH,600362.SH,600369.SH,600372.SH,600383.SH,600390.SH,600398.SH,600406.SH,600436.SH,600438.SH,600482.SH,600487.SH,600489.SH,600498.SH,600516.SH,600519.SH,600522.SH,600547.SH,600570.SH,600583.SH,600585.SH,600588.SH,600606.SH,600637.SH,600655.SH,600660.SH,600674.SH,600690.SH,600703.SH,600705.SH,600741.SH,600760.SH,600795.SH,600809.SH,600837.SH,600848.SH,600867.SH,600886.SH,600887.SH,600893.SH,600900.SH,601607.SH
2007-04-30,504.9408,788.1238,428.7335,59.8790,331.3614,133.1961,208.1489,81.2181,166.0295,340.8044,18.9881,221.3642,48.4163,210.6953,30.4301,26.2784,10.4024,13.1102,60.1758,268.3295,13.6388,150.3979,46.1201,169.8797,19.4236,114.2900,64.8769,966.8870,53.5756,128.1348,160.0751,31.4272,26.1461,56.9487,23.3490,1171.4634,147.8000,673.4720,260.7651,1419.5042,559.8600,1322.7539,1957.8416,9052.5528,403.3115,1760.8739,296.9280,2849.5677,69.9327,1201.8470,32.7819,85.0223,134.4996,145.6577,87.1547,942.0380,113.6526,100.2726,250.6232,70.9730,114.3684,76.0758,494.8422,126.5185,499.5892,125.1105,194.3897,232.6355,272.5592,19.5855,131.3998,131.4338,16.1523,136.8000,492.2282,96.9995,12.7886,11.0565,59.4922,531.7931,6.8805,34.3990,151.1154,21.4360,35.1920,79.4767,53.6200,98.1091,36.4932,27.2935,128.7160,58.9580,30.7600,900.5740,28.9488,84.3840,38.9658,278.0712,467.3756,95.5619,50.0355,58.2558,144.8118,226.7381,40.9767,179.2316,6.4778,43.4990,120.2593,13.5956,370.5803,142.9948,168.7824,30.7358,58.5292,132.0297,147.9686,17.2659,1196.0824,74.6565
2007-05-31,558.2564,1231.9726,483.3994,61.4837,474.4846,181.5604,281.7653,87.4866,178.3728,340.8044,18.9714,235.3549,63.8810,232.1192,30.5551,22.1811,11.8395,12.3619,66.9619,303.6838,13.6388,181.3148,46.1201,194.1214,19.4236,114.2900,84.5471,1136.8920,58.7462,115.2708,160.0751,30.3762,25.2145,57.7300,22.1235,1470.2084,167.1000,718.1774,274.6680,1511.5324,549.7800,1360.3726,2104.9424,11817.3592,455.1326,1612.3952,340.7040,3141.0457,66.7616,1290.8727,32.3958,95.1802,152.7975,185.5878,87.1547,995.7564,102.6338,117.6710,374.0765,94.5094,105.1614,75.2637,569.6563,140.0125,649.2048,153.8649,287.5455,228.9428,263.7377,21.0870,148.7905,177.8171,17.5223,150.4800,561.7318,99.3295,16.7995,10.6365,82.6280,553.6344,6.8805,43.8290,228.0384,42.8827,33.0429,83.6597,54.9640,110.3470,37.2344,31.0811,117.4600,61.5000,35.8800,962.3929,30.3029,76.0000,36.4411,360.5976,810.2110,100.7735,45.6921,78.1684,162.2152,247.7694,42.0967,201.7148,6.4778,43.4990,152.4102,22.5502,382.2963,172.5203,147.8592,50.4346,66.2692,126.0912,181.7457,35.9414,1335.5749,85.7554
2007-06-29,574.2759,1225.7953,492.9063,46.3076,442.2597,125.6957,292.7925,66.7732,173.2903,366.8593,36.6810,235.4674,39.4349,281.0881,27.0045,16.9149,8.4133,10.1600,53.0751,289.6327,13.6388,111.5130,46.1201,193.3697,19.4236,114.2900,58.8954,1194.2111,51.5471,95.9119,350.8710,23.5137,19.4443,57.8602,15.8670,1593.4516,186.0000,732.4369,237.0437,1230.0615,505.6800,1654.9589,1926.3200,10657.9774,334.7382,1579.3006,424.6080,3577.0930,63.1182,1244.2402,20.1240,108.9373,136.4977,166.9682,131.3085,1131.3627,113.7662,112.3021,373.7486,71.0185,84.2298,59.4075,592.5014,117.4268,648.1575,129.8426,203.3452,299.2346,208.2324,14.5695,136.4477,195.0168,10.1380,163.8360,636.3442,88.5086,8.1236,6.6675,63.6236,547.4441,6.8805,24.8050,227.9052,37.2276,26.6223,76.9006,52.7100,76.5210,47.7638,23.0242,131.6840,45.4280,31.2800,1129.5398,29.7883,117.2640,27.9017,344.0448,900.3059,109.6917,34.4110,43.7563,157.4037,305.6557,36.8057,214.1630,6.4778,43.4990,119.4003,12.1487,334.1590,145.3759,1356.0481,48.5917,42.9755,125.9285,160.9320,35.9414,1423.1073,82.2929
2007-07-31,756.0325,1803.1176,512.7641,59.4205,541.1570,136.8169,305.3408,89.6124,179.4378,460.9704,56.0425,255.7701,54.4237,296.1493,30.6801,20.5920,11.5159,10.6206,66.2428,367.1401,13.6388,139.8252,46.1201,180.0900,19.4236,114.2900,64.5893,1255.7058,64.1952,118.1085,306.6334,27.7796,27.1679,77.5665,19.0275,1752.8403,201.5000,791.9799,240.4367,1398.7706,559.0200,2058.9252,2362.3688,11272.3249,491.2174,1956.7585,437.5680,4324.0844,62.5784,1371.4198,27.2468,114.8961,162.2619,174.5202,191.9025,1565.6960,177.1526,140.9630,373.3798,83.1847,100.0544,75.4347,667.9835,140.0125,860.8652,149.6470,287.5455,385.7476,268.0128,20.2125,140.2029,190.1457,16.0016,173.2680,659.8448,99.7234,10.4198,11.5710,77.2572,658.3802,6.8805,35.4240,373.8927,41.5810,33.4560,74.1714,54.0680,95.0840,50.5542,29.1208,189.4480,55.4730,38.8800,1218.1627,39.7268,148.3680,35.7543,396.7920,801.2170,116.8128,42.8896,59.6155,189.5862,344.0129,47.0788,237.8548,6.4778,43.4990,148.3607,14.0870,375.1648,165.0740,1750.5595,49.3506,51.5632,139.5952,166.5615,35.9414,1681.9397,77.5024
2007-08-31,792.9682,2227.8810,521.7691,66.4354,692.6142,138.3687,358.1955,97.0256,186.8437,513.9515,45.8938,299.4863,66.0817,312.4185,28.3797,22.5619,13.7049,17.2260,85.3876,473.6560,13.6388,173.6588,46.1201,190.2377,19.4236,114.2900,71.7212,1353.2621,64.4737,147.1784,324.2073,36.6616,29.8727,69.4496,20.8550,2395.1855,200.5000,807.9737,283.8441,1551.9047,851.3400,2448.4125,3237.9688,12389.0524,778.3605,2950.2266,517.9232,5335.9381,66.9302,1574.9071,29.3922,116.6957,169.3076,169.7026,224.5268,1610.2430,202.0869,167.5247,373.4851,88.7561,110.1965,115.7805,689.8043,158.6745,870.3514,158.0639,320.3270,439.5544,367.2289,20.3445,154.6695,198.2930,16.0016,225.1663,690.4501,104.5016,13.3844,16.5165,98.8585,856.3629,6.8805,33.8250,469.7992,44.0138,31.4696,71.5188,54.4600,99.1404,84.7584,28.3899,300.7480,57.6050,52.4800,1509.4193,37.6145,202.9600,63.3218,463.2250,975.3847,118.8121,47.7852,62.7345,200.7774,328.9905,53.4899,303.7099,6.4778,43.4990,150.2014,17.3085,400.3796,185.8543,1687.8579,50.2020,54.3275,157.8987,174.9283,35.9414,1819.3561,82.7008
2007-09-28,834.2860,2002.2301,506.2769,61.2086,681.0577,153.3694,332.0343,135.3453,167.4817,545.4962,47.3815,384.1713,60.6691,346.9706,24.8792,18.6615,16.1794,20.3777,84.8933,594.2230,49.3623,232.5904,46.1201,237.2803,19.4236,114.2900,70.1108,1611.3879,79.6827,130.3418,307.5424,42.9059,29.8727,63.5464,21.7365,2286.3134,190.1000,759.2216,591.5836,1885.5590,831.1800,2289.1426,3185.4328,14821.0166,903.4300,3206.1626,506.4160,5488.6801,71.4170,1979.7621,34.4983,135.7717,259.1377,157.1159,207.1898,1935.1740,187.5182,217.4996,727.6959,88.3922,125.8772,117.1481,622.7833,149.0085,981.8555,191.2362,314.1072,445.3571,411.7375,20.3940,146.2666,180.2311,16.1797,225.1663,652.5261,111.0058,12.9775,14.3640,113.6135,1302.5979,6.8805,33.8250,450.4165,35.6912,31.6682,69.0958,50.9320,95.0840,88.8350,33.3403,393.4280,56.4570,58.6800,1420.1359,34.2295,309.2800,67.7772,463.2250,1228.7905,106.9960,55.0221,77.5498,240.2191,337.5032,58.3175,336.5036,6.4778,43.4990,132.0398,18.5643,472.2034,173.2995,1695.9922,55.4857,50.5312,197.5319,175.0316,35.9414,1818.4149,81.8471
2007-10-31,1002.6874,2539.8758,509.4784,51.5803,673.8474,133.1961,423.2183,129.7309,154.1703,595.6017,42.3821,299.1565,59.8364,329.0100,22.8538,16.1269,13.4955,16.7080,72.4896,472.5229,53.5782,264.7286,702.7680,206.5867,19.4236,114.2900,60.9659,1708.1850,68.8508,120.0002,322.0863,33.6941,29.8727,58.2074,17.3720,2560.2355,184.9000,689.8511,527.9936,1599.6499,880.3200,2459.9975,3241.4712,19932.5335,853.2427,3511.8272,633.8880,6487.7825,57.5519,2244.7196,34.9703,131.9325,257.8053,131.8993,222.9041,1720.9553,181.6965,233.8483,629.1963,79.0914,101.9965,113.6863,655.2918,132.2606,999.2748,159.3016,314.2836,432.5648,360.4257,18.8430,152.7611,185.3177,12.8780,184.9581,642.7124,108.0399,10.6523,11.2875,112.4913,1471.1169,6.8805,24.7230,570.9918,27.4326,30.0024,68.1520,46.3960,89.3776,99.3225,29.4863,352.4920,51.3320,53.4400,1802.7524,29.5988,291.2000,60.1474,481.7578,1247.4440,105.3786,45.8695,59.4737,191.8244,317.4733,97.0300,286.5769,6.4778,43.4990,114.4917,14.8242,484.5791,147.5405,2162.6950,45.4614,43.0861,170.6389,157.0585,35.9414,2021.7160,66.1948
2007-11-30,752.9024,2081.9350,447.4950,49.0127,669.5570,124.6612,353.4804,109.5626,143.5696,540.4421,38.0253,290.2864,55.1970,316.2040,25.2042,16.2845,15.7036,12.4050,60.1758,387.5368,55.8257,233.1548,495.1586,205.9603,19.4236,114.2900,57.0549,1331.2455,64.2461,102.4069,270.8797,32.8492,29.8727,53.6498,17.2000,2259.7486,185.1000,626.8396,445.7757,1373.1689,818.5800,2186.3427,2542.7424,16636.0326,927.3521,2781.1496,435.8848,5637.1430,104.3424,2087.8647,41.6210,114.3362,215.6705,119.1390,192.6712,1570.9368,149.0093,142.7391,669.5691,77.8634,97.5368,96.2059,487.1826,130.1552,886.2291,150.8848,244.7955,305.6967,372.7577,18.5295,164.8269,202.8623,12.7136,164.0498,515.6337,96.8746,11.6114,14.8050,95.4891,1014.8233,9.2311,27.7980,376.5777,26.2802,28.3213,66.1371,44.2680,75.1459,77.0331,29.7023,237.3840,62.2380,47.8800,1637.3986,31.8194,216.5760,49.7515,409.5274,1009.8670,93.1582,40.3708,58.2687,151.5358,276.9129,132.5012,223.2649,6.4778,43.4990,101.7295,15.0972,415.6648,123.9895,2137.5879,51.7183,40.5429,157.7724,170.9053,35.9414,1579.3479,63.4059
2007-12-28,885.2552,1900.7021,572.1033,56.0277,658.5484,151.0417,436.9073,121.2820,167.8689,640.4788,48.5292,309.5058,66.6170,412.0380,25.2042,19.6333,15.7036,15.6574,72.5345,566.1210,55.8257,278.2923,562.3608,229.2624,19.4236,640.7785,71.0885,1726.4057,78.3671,125.9908,357.4764,43.3386,29.8727,71.6199,20.5970,2299.3781,241.2700,722.9948,504.8698,1569.5881,804.7200,2145.8012,3054.0928,18221.1240,1002.7083,2959.5092,565.8368,5566.3210,105.3881,2560.5488,49.9023,137.8113,256.1399,151.4736,276.1108,1722.2655,188.3702,196.9122,809.0931,112.9590,110.9877,126.0806,546.1878,152.1667,931.1226,182.6956,281.6559,351.9864,449.8218,22.7700,200.4701,245.8833,15.9879,192.7183,632.8987,115.3153,13.8204,15.5085,114.6660,1078.9260,22.2331,34.6450,342.3434,31.4338,32.9445,79.8848,53.0320,94.3965,89.4801,37.0115,319.6200,75.3990,57.0400,2170.7400,36.9375,270.3840,62.2637,494.9683,1099.0280,118.1654,45.6212,70.7447,194.0022,359.1354,158.0974,300.6313,6.4778,43.4990,119.0321,16.8171,475.0455,159.3161,2259.3597,58.0923,51.4526,175.5956,195.3678,35.9414,1834.4155,78.4320
2008-01-31,763.7046,1696.0411,632.6392,58.4118,620.6737,138.6273,415.6133,125.4247,174.9845,555.0816,40.7610,250.1742,75.5980,461.7163,25.2042,16.4552,15.7036,15.3984,61.3443,465.7240,45.2162,248.2835,461.7771,367.7787,19.4236,463.5846,68.0402,1432.9774,82.0947,118.5499,336.0242,43.9363,29.8727,67.2793,21.6720,2003.2460,212.8650,640.7137,459.2663,1233.2120,814.8000,1737.5019,2717.8624,13124.5409,714.3766,2258.3373,524.3712,4580.8304,81.4700,2439.7282,42.8225,134.4520,238.1535,128.0365,241.1806,1350.1671,260.7131,165.5871,559.9814,106.8190,101.7807,129.8417,481.8388,127.2841,816.0226,194.4544,268.4285,327.4569,348.6804,20.1465,194.5296,236.2704,14.9056,215.9184,612.9387,95.1244,11.5969,12.1905,104.3197,895.0460,45.8863,36.2030,369.5295,27.8167,29.5498,79.3237,50.6800,101.8905,91.1167,41.0981,297.5840,64.5750,62.4000,1944.5111,33.8504,355.4479,65.7166,469.9728,938.1096,129.3410,42.3575,72.8004,165.2073,334.1983,142.2287,270.5146,6.4778,43.4990,116.7006,16.7622,416.7543,126.8901,1885.8166,45.0320,45.3343,143.3240,161.3300,35.9414,1594.4073,63.9750
