,Account,HS300
0,10000000.0,3927.952
1,"IF    8958094.81
Name: 2010-5-31, dtype: float64",3764.078
2,"IF    8289147.15
Name: 2010-6-30, dtype: float64",4460.564
3,"IF    8462942.86
Name: 2010-7-30, dtype: float64",5296.813
4,"IF    8982958.0
Name: 2010-8-31, dtype: float64",5580.813
5,"IF    8685093.75
Name: 2010-9-30, dtype: float64",5688.543000000001
6,"IF    10307494.5
Name: 2010-10-29, dtype: float64",4737.407999999999
7,"IF    10179544.52
Name: 2010-11-30, dtype: float64",5338.275
8,"IF    10071284.79
Name: 2010-12-31, dtype: float64",4620.401
9,"IF    9518253.52
Name: 2011-1-31, dtype: float64",4674.55
10,"IF    10808711.24
Name: 2011-2-28, dtype: float64",3790.53
11,"IF    11093919.81
Name: 2011-3-31, dtype: float64",3959.119
12,"IF    10915657.2
Name: 2011-4-29, dtype: float64",3611.33
13,"IF    10428778.33
Name: 2011-5-31, dtype: float64",2791.8190000000004
14,"IF    11095783.17
Name: 2011-6-30, dtype: float64",2805.21
15,"IF    10678848.24
Name: 2011-7-29, dtype: float64",2391.64
16,"IF    10253705.4
Name: 2011-8-31, dtype: float64",2243.657
17,"IF    8965467.63
Name: 2011-9-30, dtype: float64",1663.66
18,"IF    9452929.43
Name: 2011-10-31, dtype: float64",1829.924
19,"IF    8508954.69
Name: 2011-11-30, dtype: float64",1817.7220000000002
20,"IF    8386436.86
Name: 2011-12-30, dtype: float64",2032.682
21,"IF    8590536.44
Name: 2012-1-31, dtype: float64",2140.489
22,"IF    9669669.66
Name: 2012-2-29, dtype: float64",2507.7889999999998
23,"IF    9541446.57
Name: 2012-3-30, dtype: float64",2622.926
24,"IF    10300571.8
Name: 2012-4-27, dtype: float64",2759.712
25,"IF    10938516.5
Name: 2012-5-31, dtype: float64",3166.474
26,"IF    9927634.49
Name: 2012-6-29, dtype: float64",3734.6220000000003
27,"IF    9566564.06
Name: 2012-7-31, dtype: float64",2830.2709999999997
28,"IF    8873543.74
Name: 2012-8-31, dtype: float64",3004.805
29,"IF    9299991.87
Name: 2012-9-28, dtype: float64",3280.3720000000003
30,"IF    9993477.67
Name: 2012-10-31, dtype: float64",3511.6690000000003
31,"IF    10116019.29
Name: 2012-11-30, dtype: float64",3575.684
32,"IF    12233391.49
Name: 2012-12-31, dtype: float64",3204.155
33,"IF    12891386.57
Name: 2013-1-31, dtype: float64",3281.6659999999997
34,"IF    13339297.29
Name: 2013-2-28, dtype: float64",3345.607
35,"IF    12385226.31
Name: 2013-3-29, dtype: float64",3067.365
